timestamp,machine_id,temperature,vibration,humidity,pressure,energy_consumption,machine_status,anomaly_flag,predicted_remaining_life,failure_type,downtime_risk,maintenance_required
2025-03-04 10:39:00,19,78.69,40.31,77.49,1.71,2.34,1,0,296,Normal,0.0,0
2025-03-04 10:40:00,27,72.37,54.45,39.44,4.66,0.59,2,0,107,Pressure Drop,0.0,1
2025-03-04 10:41:00,6,72.38,72.65,33.27,1.66,1.85,2,0,397,Pressure Drop,0.0,1
2025-03-04 10:42:00,7,67.72,65.07,36.84,1.54,1.84,1,0,189,Normal,0.0,0
2025-03-04 10:43:00,37,82.29,39.89,42.47,2.71,3.81,1,0,278,Normal,0.0,0
2025-03-04 10:44:00,26,90.33,60.88,77.42,3.26,0.6,1,1,39,Normal,1.0,1
2025-03-04 10:45:00,13,82.82,36.54,35.9,1.91,4.2,1,0,375,Normal,0.0,0
2025-03-04 10:46:00,37,75.96,54.74,30.74,2.26,4.9,1,0,428,Normal,0.0,0
2025-03-04 10:47:00,46,75.12,54.15,59.79,1.03,1.41,1,0,434,Normal,0.0,0
2025-03-04 10:48:00,33,84.95,28.92,37.2,2.3,2.25,1,0,32,Normal,0.0,0
2025-03-04 10:49:00,33,80.45,50.6,71.57,3.09,2.53,1,0,253,Normal,0.0,0
2025-03-04 10:50:00,41,75.72,49.92,60.75,1.19,3.96,1,0,362,Normal,0.0,0
2025-03-04 10:51:00,9,65.61,59.31,49.59,4.07,1.21,1,0,152,Normal,0.0,0
2025-03-04 10:52:00,15,77.02,35.74,34.43,1.05,2.87,1,0,480,Normal,0.0,0
2025-03-04 10:53:00,5,79.2,70.35,53.11,2.97,1.58,2,0,143,Vibration Issue,0.0,1
2025-03-04 10:54:00,29,64.04,62.85,45.37,1.99,1.56,1,0,18,Normal,0.0,1
2025-03-04 10:55:00,7,49.44,41.64,49.64,1.07,2.88,1,0,128,Normal,0.0,0
2025-03-04 10:56:00,31,69.1,64.95,45.24,2.92,4.03,0,0,84,Normal,0.0,0
2025-03-04 10:57:00,34,73.35,80.3,42.72,1.88,4.89,1,1,32,Normal,1.0,1
2025-03-04 10:58:00,11,86.42,47.15,31.04,4.79,1.1,2,0,274,Electrical Fault,0.0,1
2025-03-04 10:59:00,42,70.73,61.94,49.52,1.07,1.26,1,0,275,Normal,0.0,0
2025-03-04 11:00:00,19,86.05,72.2,75.71,2.65,3.43,1,0,193,Normal,0.0,0
2025-03-04 11:01:00,5,71.32,28.19,49.39,4.4,1.09,1,0,274,Normal,0.0,0
2025-03-04 11:02:00,23,56.5,57.76,47.12,2.55,1.04,1,0,244,Normal,0.0,0
2025-03-04 11:03:00,47,58.95,21.28,73.36,1.72,2.43,1,0,186,Normal,0.0,0
2025-03-04 11:04:00,2,79.29,37.1,62.77,1.0,1.15,1,0,221,Normal,0.0,0
2025-03-04 11:05:00,43,78.38,53.13,44.09,4.97,3.88,1,0,207,Normal,0.0,0
2025-03-04 11:06:00,4,76.27,19.09,65.79,4.45,4.24,1,0,319,Normal,0.0,0
2025-03-04 11:07:00,17,71.56,89.53,57.16,3.04,2.49,2,1,11,Electrical Fault,1.0,1
2025-03-04 11:08:00,31,72.5,47.33,40.35,2.73,4.65,1,0,428,Normal,0.0,0
2025-03-04 11:09:00,30,93.18,37.7,49.64,1.49,1.84,0,1,16,Normal,1.0,1
2025-03-04 11:10:00,2,74.27,58.36,35.36,3.42,3.3,1,0,440,Normal,0.0,0
2025-03-04 11:11:00,24,65.7,44.5,58.9,3.81,0.55,1,0,350,Normal,0.0,0
2025-03-04 11:12:00,10,87.04,41.54,69.04,1.88,4.94,1,0,323,Normal,0.0,0
2025-03-04 11:13:00,28,80.55,55.69,41.01,3.61,2.71,1,0,459,Normal,0.0,0
2025-03-04 11:14:00,43,81.0,68.97,56.84,3.72,2.3,1,0,249,Normal,0.0,0
2025-03-04 11:15:00,32,79.7,46.66,36.67,3.55,4.31,1,0,203,Normal,0.0,0
2025-03-04 11:16:00,33,82.53,30.58,63.04,1.39,2.21,1,0,97,Normal,0.0,0
2025-03-04 11:17:00,18,61.5,79.58,60.94,2.41,2.81,1,0,288,Normal,0.0,0
2025-03-04 11:18:00,24,65.06,54.92,40.71,3.5,1.46,1,0,320,Normal,0.0,0
2025-03-04 11:19:00,37,63.41,25.75,31.97,1.72,1.36,1,0,11,Normal,0.0,1
2025-03-04 11:20:00,30,59.68,53.15,55.76,4.44,4.6,1,0,203,Normal,0.0,0
2025-03-04 11:21:00,5,75.62,72.49,56.4,2.42,2.13,1,0,91,Normal,0.0,0
2025-03-04 11:22:00,23,55.59,63.35,61.42,1.72,3.51,1,0,463,Normal,0.0,0
2025-03-04 11:23:00,30,67.48,46.36,42.02,4.63,4.28,2,0,183,Pressure Drop,0.0,1
2025-03-04 11:24:00,4,71.41,48.28,30.38,4.11,0.7,1,0,291,Normal,0.0,0
2025-03-04 11:25:00,41,70.35,33.94,58.83,4.46,4.11,1,0,139,Normal,0.0,0
2025-03-04 11:26:00,24,64.66,31.15,54.86,1.48,3.16,1,0,127,Normal,0.0,0
2025-03-04 11:27:00,3,80.47,44.59,66.53,4.79,1.92,1,0,124,Normal,0.0,0
2025-03-04 11:28:00,15,90.25,52.76,38.99,3.21,2.61,1,1,25,Normal,1.0,1
2025-03-04 11:29:00,46,67.1,55.91,54.67,1.67,4.25,1,0,191,Normal,0.0,0
2025-03-04 11:30:00,1,62.79,39.45,43.19,1.28,1.41,2,0,158,Vibration Issue,0.0,1
2025-03-04 11:31:00,10,69.98,53.19,46.77,1.87,1.92,1,0,13,Normal,0.0,1
2025-03-04 11:32:00,45,93.7,54.03,64.46,2.51,3.91,0,1,13,Normal,1.0,1
2025-03-04 11:33:00,26,80.95,22.13,73.17,4.23,2.54,1,0,237,Normal,0.0,0
2025-03-04 11:34:00,12,75.91,66.29,36.88,4.54,3.67,1,0,253,Normal,0.0,0
2025-03-04 11:35:00,1,75.38,44.2,40.85,4.9,1.8,1,0,82,Normal,0.0,0
2025-03-04 11:36:00,2,85.52,27.59,46.19,3.15,1.65,1,0,339,Normal,0.0,0
2025-03-04 11:37:00,11,70.8,56.28,47.49,4.41,1.76,1,0,131,Normal,0.0,0
2025-03-04 11:38:00,12,75.2,66.18,46.65,2.89,1.75,1,0,216,Normal,0.0,0
2025-03-04 11:39:00,28,82.58,48.72,51.74,3.41,2.8,1,0,139,Normal,0.0,0
2025-03-04 11:40:00,33,83.33,20.63,46.14,4.54,1.29,1,0,269,Normal,0.0,0
2025-03-04 11:41:00,42,84.0,71.82,49.2,4.95,3.7,1,0,463,Normal,0.0,0
2025-03-04 11:42:00,3,80.5,44.72,43.04,1.8,2.35,1,0,460,Normal,0.0,0
2025-03-04 11:43:00,41,70.47,60.39,61.85,3.78,0.84,1,0,73,Normal,0.0,0
2025-03-04 11:44:00,49,70.36,33.89,69.11,1.36,2.46,1,0,22,Normal,0.0,0
2025-03-04 11:45:00,19,62.35,17.46,60.78,1.74,4.29,2,0,13,Electrical Fault,0.0,1
2025-03-04 11:46:00,18,72.0,39.93,36.95,3.47,3.72,1,0,275,Normal,0.0,0
2025-03-04 11:47:00,37,85.41,26.1,33.07,1.62,0.91,1,0,385,Normal,0.0,0
2025-03-04 11:48:00,28,87.99,77.02,63.5,3.26,4.43,1,0,107,Normal,0.0,0
2025-03-04 11:49:00,31,72.97,40.21,43.57,3.18,1.71,0,0,399,Normal,0.0,0
2025-03-04 11:50:00,7,64.96,51.81,76.1,3.53,3.52,1,0,303,Normal,0.0,0
2025-03-04 11:51:00,47,70.16,67.42,47.48,1.26,3.22,1,0,445,Normal,0.0,0
2025-03-04 11:52:00,38,65.69,18.96,33.09,1.19,1.92,1,0,113,Normal,0.0,0
2025-03-04 11:53:00,5,61.96,53.61,39.42,3.83,2.75,1,0,370,Normal,0.0,0
2025-03-04 11:54:00,19,57.7,71.66,40.92,4.45,1.85,1,0,347,Normal,0.0,0
2025-03-04 11:55:00,13,67.92,51.55,31.31,3.08,4.92,1,0,27,Normal,0.0,0
2025-03-04 11:56:00,39,60.52,18.97,77.05,1.72,2.72,1,0,87,Normal,0.0,0
2025-03-04 11:57:00,28,62.07,39.59,60.46,2.88,1.17,1,0,121,Normal,0.0,0
2025-03-04 11:58:00,2,75.73,63.88,50.05,2.26,2.62,0,0,471,Normal,0.0,0
2025-03-04 11:59:00,6,73.91,54.26,51.57,3.1,4.97,0,0,487,Normal,0.0,0
2025-03-04 12:00:00,15,88.83,41.01,39.86,1.34,3.15,1,0,242,Normal,0.0,0
2025-03-04 12:01:00,28,88.8,61.31,64.4,4.17,0.64,1,0,481,Normal,0.0,0
2025-03-04 12:02:00,37,83.04,44.2,30.02,4.68,4.98,1,0,372,Normal,0.0,0
2025-03-04 12:03:00,25,83.99,23.11,33.05,4.0,2.09,1,0,263,Normal,0.0,0
2025-03-04 12:04:00,32,74.84,29.8,33.97,2.7,3.73,1,0,144,Normal,0.0,0
2025-03-04 12:05:00,37,80.44,60.03,51.43,2.65,1.49,1,0,401,Normal,0.0,0
2025-03-04 12:06:00,36,77.24,69.76,61.2,2.61,4.69,1,0,351,Normal,0.0,0
2025-03-04 12:07:00,30,80.83,44.11,78.77,1.11,3.12,1,0,155,Normal,0.0,0
2025-03-04 12:08:00,45,67.26,41.19,61.95,1.32,3.28,1,0,177,Normal,0.0,0
2025-03-04 12:09:00,24,76.24,31.69,55.73,3.29,1.27,1,0,206,Normal,0.0,0
2025-03-04 12:10:00,18,81.29,47.04,68.33,4.28,1.87,1,0,76,Normal,0.0,0
2025-03-04 12:11:00,1,65.37,55.11,50.84,2.46,2.46,0,0,32,Normal,0.0,0
