timestamp,machine_id,temperature,vibration,humidity,pressure,energy_consumption,machine_status,anomaly_flag,predicted_remaining_life,failure_type,downtime_risk,maintenance_required,data_quality,record_id
2025-03-04 10:39:00,19,78.69,40.31,77.49,1.71,2.34,1,0,296,Normal,0.0,0,good,3b0eeefe-3f47-444e-8049-158a6e48d820
2025-03-04 10:40:00,27,72.37,54.45,39.44,4.66,0.59,2,0,107,Pressure Drop,0.0,1,good,837c2fa2-ed1f-41ee-96d1-22c58e578d7f
2025-03-04 10:41:00,6,72.38,72.65,33.27,1.66,1.85,2,0,397,Pressure Drop,0.0,1,good,d4bc6ab4-3269-431e-80fe-558e3c2001bb
2025-03-04 10:42:00,7,67.72,65.07,36.84,1.54,1.84,1,0,189,Normal,0.0,0,good,66a65482-5744-45e6-8e07-316d34bd74e9
2025-03-04 10:43:00,37,82.29,39.89,42.47,2.71,3.81,1,0,278,Normal,0.0,0,good,561a090c-d746-4bdc-a849-ee46e10ea578
2025-03-04 10:44:00,26,90.33,60.88,77.42,3.26,0.6,1,1,39,Normal,1.0,1,good,1e6ffc71-bcd9-4c68-a7c2-ef392b1989c1
2025-03-04 10:45:00,13,82.82,36.54,35.9,1.91,4.2,1,0,375,Normal,0.0,0,good,e5c7e481-f1a2-4028-b8bb-c4978fcad45e
2025-03-04 10:46:00,37,75.96,54.74,30.74,2.26,4.9,1,0,428,Normal,0.0,0,good,943e96f4-c6dd-47c3-96e3-32358bdfc119
2025-03-04 10:47:00,46,75.12,54.15,59.79,1.03,1.41,1,0,434,Normal,0.0,0,good,d74f8f8f-ed11-4dd1-9b4a-8b0f08b7ed4f
2025-03-04 10:48:00,33,84.95,28.92,37.2,2.3,2.25,1,0,32,Normal,0.0,0,good,46696ba0-e500-4243-835b-bb01a2ab81ef
2025-03-04 10:49:00,33,80.45,50.6,71.57,3.09,2.53,1,0,253,Normal,0.0,0,good,dd9f1f9c-e180-4a13-b6cb-e0a7e727a789
2025-03-04 10:50:00,41,75.72,49.92,60.75,1.19,3.96,1,0,362,Normal,0.0,0,good,31db9b4a-4021-4649-a4e2-20aa97caa4a0
2025-03-04 10:51:00,9,65.61,59.31,49.59,4.07,1.21,1,0,152,Normal,0.0,0,good,52c1a448-4ee8-4782-a17a-3ac705f99598
2025-03-04 10:52:00,15,77.02,35.74,34.43,1.05,2.87,1,0,480,Normal,0.0,0,good,2cf8d77f-5711-42b9-939e-00b84f1043d3
2025-03-04 10:53:00,5,79.2,70.35,53.11,2.97,1.58,2,0,143,Vibration Issue,0.0,1,good,192caf5c-b2f0-4ff9-a27a-279c7543d907
2025-03-04 10:54:00,29,64.04,62.85,45.37,1.99,1.56,1,0,18,Normal,0.0,1,good,f73dc287-9261-4be7-a2ea-1eb62f932f5a
2025-03-04 10:55:00,7,49.44,41.64,49.64,1.07,2.88,1,0,128,Normal,0.0,0,good,589b2998-5921-48e7-bdb4-cd3956064c11
2025-03-04 10:56:00,31,69.1,64.95,45.24,2.92,4.03,0,0,84,Normal,0.0,0,good,04a23db8-14bf-45ca-be0c-9e337e9304a6
2025-03-04 10:57:00,34,73.35,80.3,42.72,1.88,4.89,1,1,32,Normal,1.0,1,good,dcfa1b07-1b88-445a-9e0b-7e7b9b1d691f
2025-03-04 10:58:00,11,86.42,47.15,31.04,4.79,1.1,2,0,274,Electrical Fault,0.0,1,good,5b72c3e0-2814-4838-a406-401f55ad976c
2025-03-04 10:59:00,42,70.73,61.94,49.52,1.07,1.26,1,0,275,Normal,0.0,0,good,e41aeb2e-64ac-4726-81b2-266376ff171e
2025-03-04 11:00:00,19,86.05,72.2,75.71,2.65,3.43,1,0,193,Normal,0.0,0,good,c99fad09-a29e-4273-9415-2b29fc02d5a0
2025-03-04 11:01:00,5,71.32,28.19,49.39,4.4,1.09,1,0,274,Normal,0.0,0,good,c4a45dce-6463-48e0-afd9-0f16e0d6832a
2025-03-04 11:02:00,23,56.5,57.76,47.12,2.55,1.04,1,0,244,Normal,0.0,0,good,3e007533-b1fe-4591-80e5-5370c85ac3bf
2025-03-04 11:03:00,47,58.95,21.28,73.36,1.72,2.43,1,0,186,Normal,0.0,0,good,1f60f325-7190-4f39-bdea-5e0c0a3c7b55
2025-03-04 11:04:00,2,79.29,37.1,62.77,1.0,1.15,1,0,221,Normal,0.0,0,good,6257089e-f108-44f1-b4a4-11c02dadfa26
2025-03-04 11:05:00,43,78.38,53.13,44.09,4.97,3.88,1,0,207,Normal,0.0,0,good,71af82b9-906d-450d-93ed-9cc4fb055901
2025-03-04 11:06:00,4,76.27,19.09,65.79,4.45,4.24,1,0,319,Normal,0.0,0,good,d67adcc9-6918-4345-bae6-95affe2bbcf1
2025-03-04 11:07:00,17,71.56,89.53,57.16,3.04,2.49,2,1,11,Electrical Fault,1.0,1,good,7cd36633-4fe9-4010-b275-3cadd3ebdc6c
2025-03-04 11:08:00,31,72.5,47.33,40.35,2.73,4.65,1,0,428,Normal,0.0,0,good,2082f52e-584b-443c-8280-53569c89f292
2025-03-04 11:09:00,30,93.18,37.7,49.64,1.49,1.84,0,1,16,Normal,1.0,1,good,3e64e816-1aa2-4294-8af3-a25764fb9bd7
2025-03-04 11:10:00,2,74.27,58.36,35.36,3.42,3.3,1,0,440,Normal,0.0,0,good,55d4c405-7ef9-4926-9b14-2de63a659524
2025-03-04 11:11:00,24,65.7,44.5,58.9,3.81,0.55,1,0,350,Normal,0.0,0,good,b560c490-06eb-47e5-bd91-09dcd6622d4c
2025-03-04 11:12:00,10,87.04,41.54,69.04,1.88,4.94,1,0,323,Normal,0.0,0,good,82a51c51-fe06-4c2d-9da8-fb3f785f5b2f
2025-03-04 11:13:00,28,80.55,55.69,41.01,3.61,2.71,1,0,459,Normal,0.0,0,good,63f23543-1a5f-429e-ba7e-19abc046130b
2025-03-04 11:14:00,43,81.0,68.97,56.84,3.72,2.3,1,0,249,Normal,0.0,0,good,8c13a575-f45f-4b55-9f16-24b75ccbae5b
2025-03-04 11:15:00,32,79.7,46.66,36.67,3.55,4.31,1,0,203,Normal,0.0,0,good,6ecdc210-d05b-4ac6-a3fa-251db7ff410f
2025-03-04 11:16:00,33,82.53,30.58,63.04,1.39,2.21,1,0,97,Normal,0.0,0,good,c72be857-f403-4348-b0c9-ac0c1c493fa7
2025-03-04 11:17:00,18,61.5,79.58,60.94,2.41,2.81,1,0,288,Normal,0.0,0,good,2b03cae9-2f24-41d8-b4c0-156947798653
2025-03-04 11:18:00,24,65.06,54.92,40.71,3.5,1.46,1,0,320,Normal,0.0,0,good,4a45eda7-b214-45d3-9ecf-502ac192e16b
2025-03-04 11:19:00,37,63.41,25.75,31.97,1.72,1.36,1,0,11,Normal,0.0,1,good,d1629b1a-571c-4483-a2b3-1376528a3152
2025-03-04 11:20:00,30,59.68,53.15,55.76,4.44,4.6,1,0,203,Normal,0.0,0,good,6e16015b-c192-49f5-91a7-8d4ace9e7c7c
2025-03-04 11:21:00,5,75.62,72.49,56.4,2.42,2.13,1,0,91,Normal,0.0,0,good,1449f146-94e4-4e75-88e7-9b271ac269d0
2025-03-04 11:22:00,23,55.59,63.35,61.42,1.72,3.51,1,0,463,Normal,0.0,0,good,6a180ed0-0568-4df1-a3da-b41b80f6a23f
2025-03-04 11:23:00,30,67.48,46.36,42.02,4.63,4.28,2,0,183,Pressure Drop,0.0,1,good,70de5c77-4ad9-4761-99bd-453c4226cd99
2025-03-04 11:24:00,4,71.41,48.28,30.38,4.11,0.7,1,0,291,Normal,0.0,0,good,e9d5e25f-c381-4566-a793-4558b0fce517
2025-03-04 11:25:00,41,70.35,33.94,58.83,4.46,4.11,1,0,139,Normal,0.0,0,good,5567fc7b-ac5c-4b6d-bed6-13722dbaf4a6
2025-03-04 11:26:00,24,64.66,31.15,54.86,1.48,3.16,1,0,127,Normal,0.0,0,good,0a5d8a20-8da7-4409-873d-f2d3bdc8c4d0
2025-03-04 11:27:00,3,80.47,44.59,66.53,4.79,1.92,1,0,124,Normal,0.0,0,good,51cc4767-05ed-4f06-9655-738e2c02ce1a
2025-03-04 11:28:00,15,90.25,52.76,38.99,3.21,2.61,1,1,25,Normal,1.0,1,good,c1543268-4c99-49b9-b16f-d75607779522
2025-03-04 11:29:00,46,67.1,55.91,54.67,1.67,4.25,1,0,191,Normal,0.0,0,good,f541af46-e14c-45ae-897f-e955b552d295
2025-03-04 11:30:00,1,62.79,39.45,43.19,1.28,1.41,2,0,158,Vibration Issue,0.0,1,good,1ffaa550-1665-4893-9861-8306e394e7c6
2025-03-04 11:31:00,10,69.98,53.19,46.77,1.87,1.92,1,0,13,Normal,0.0,1,good,a61e6561-d71e-4521-90a2-3749aac3f6bb
2025-03-04 11:32:00,45,93.7,54.03,64.46,2.51,3.91,0,1,13,Normal,1.0,1,good,296b52f1-7034-42f0-a00a-9b02be06e6ad
2025-03-04 11:33:00,26,80.95,22.13,73.17,4.23,2.54,1,0,237,Normal,0.0,0,good,ce328470-d9d5-4cea-8ee8-d4b6451e8034
2025-03-04 11:34:00,12,75.91,66.29,36.88,4.54,3.67,1,0,253,Normal,0.0,0,good,cd28df52-98d6-448c-bcff-b7e6528fee0c
2025-03-04 11:35:00,1,75.38,44.2,40.85,4.9,1.8,1,0,82,Normal,0.0,0,good,97948405-8dd3-4c18-b83b-d2eff20aa09d
2025-03-04 11:36:00,2,85.52,27.59,46.19,3.15,1.65,1,0,339,Normal,0.0,0,good,26ca21a8-c743-44f3-bb9b-36266f03349c
2025-03-04 11:37:00,11,70.8,56.28,47.49,4.41,1.76,1,0,131,Normal,0.0,0,good,ad3fa347-d1e7-4037-a3f5-a709d1314b8b
2025-03-04 11:38:00,12,75.2,66.18,46.65,2.89,1.75,1,0,216,Normal,0.0,0,good,84fe481c-7c7c-4851-a3c2-b6737058bae9
2025-03-04 11:39:00,28,82.58,48.72,51.74,3.41,2.8,1,0,139,Normal,0.0,0,good,87f93a96-b5f7-43be-b86f-b744dc8ba601
2025-03-04 11:40:00,33,83.33,20.63,46.14,4.54,1.29,1,0,269,Normal,0.0,0,good,1894749f-e64b-4206-add0-1c09b8a0fa3c
2025-03-04 11:41:00,42,84.0,71.82,49.2,4.95,3.7,1,0,463,Normal,0.0,0,good,5fa028f0-c734-437c-903c-0718ab31e052
2025-03-04 11:42:00,3,80.5,44.72,43.04,1.8,2.35,1,0,460,Normal,0.0,0,good,8b227e4f-c7bd-40b0-88cb-da7abc2c3618
2025-03-04 11:43:00,41,70.47,60.39,61.85,3.78,0.84,1,0,73,Normal,0.0,0,good,0966764b-7622-4a7a-84ff-5932011157b8
2025-03-04 11:44:00,49,70.36,33.89,69.11,1.36,2.46,1,0,22,Normal,0.0,0,good,5e22dcb7-bc49-4a92-86f3-78a04dd6e4d9
2025-03-04 11:45:00,19,62.35,17.46,60.78,1.74,4.29,2,0,13,Electrical Fault,0.0,1,good,3d2084d7-538d-4728-acb4-670d0db1ec0e
2025-03-04 11:46:00,18,72.0,39.93,36.95,3.47,3.72,1,0,275,Normal,0.0,0,good,a21327a5-7966-4ba5-b534-28e29160d2fe
2025-03-04 11:47:00,37,85.41,26.1,33.07,1.62,0.91,1,0,385,Normal,0.0,0,good,ca162539-d1a7-4539-a86f-31d211a8d0ac
2025-03-04 11:48:00,28,87.99,77.02,63.5,3.26,4.43,1,0,107,Normal,0.0,0,good,8a669ae3-52e2-40a0-8239-ff3a750a126e
2025-03-04 11:49:00,31,72.97,40.21,43.57,3.18,1.71,0,0,399,Normal,0.0,0,good,5185cc07-70cd-4a1c-a9dd-b80cbedaca8a
2025-03-04 11:50:00,7,64.96,51.81,76.1,3.53,3.52,1,0,303,Normal,0.0,0,good,9d6f2327-abfc-4f8c-a903-660dd67388ec
2025-03-04 11:51:00,47,70.16,67.42,47.48,1.26,3.22,1,0,445,Normal,0.0,0,good,47c94da9-201c-4839-9b65-7b4ec3968c46
2025-03-04 11:52:00,38,65.69,18.96,33.09,1.19,1.92,1,0,113,Normal,0.0,0,good,bc4c7b59-82b6-4a8d-8939-67652b842fd4
2025-03-04 11:53:00,5,61.96,53.61,39.42,3.83,2.75,1,0,370,Normal,0.0,0,good,a2177d27-c0ab-498f-9581-f9f2aeb7d396
2025-03-04 11:54:00,19,57.7,71.66,40.92,4.45,1.85,1,0,347,Normal,0.0,0,good,ef9580d8-bc10-4570-a416-b4f3876cec4a
2025-03-04 11:55:00,13,67.92,51.55,31.31,3.08,4.92,1,0,27,Normal,0.0,0,good,45c82cd4-cc39-4c98-a3a6-8c44fc610d58
2025-03-04 11:56:00,39,60.52,18.97,77.05,1.72,2.72,1,0,87,Normal,0.0,0,good,3cbaa360-63cd-4819-b8e0-744655445fa9
2025-03-04 11:57:00,28,62.07,39.59,60.46,2.88,1.17,1,0,121,Normal,0.0,0,good,8a71ad5f-ca35-4342-9f97-5054e9a692e8
2025-03-04 11:58:00,2,75.73,63.88,50.05,2.26,2.62,0,0,471,Normal,0.0,0,good,20ad7a0a-04ee-4e1d-ab63-a4a722ba24ea
2025-03-04 11:59:00,6,73.91,54.26,51.57,3.1,4.97,0,0,487,Normal,0.0,0,good,8e1947f1-d6b5-4c62-a93d-4f1dd9830ef7
2025-03-04 12:00:00,15,88.83,41.01,39.86,1.34,3.15,1,0,242,Normal,0.0,0,good,b3d37d0f-5e74-45e0-a2bc-bacdeea31981
2025-03-04 12:01:00,28,88.8,61.31,64.4,4.17,0.64,1,0,481,Normal,0.0,0,good,93a2d51a-8012-4902-9084-cb4545791beb
2025-03-04 12:02:00,37,83.04,44.2,30.02,4.68,4.98,1,0,372,Normal,0.0,0,good,ea5a0cdf-da50-4b80-94df-ea1d43074d01
2025-03-04 12:03:00,25,83.99,23.11,33.05,4.0,2.09,1,0,263,Normal,0.0,0,good,7a80009c-adad-41d7-b4e9-4d4d683a4474
2025-03-04 12:04:00,32,74.84,29.8,33.97,2.7,3.73,1,0,144,Normal,0.0,0,good,9ce566fc-07f1-47e8-8e4a-8f2a5e332f49
2025-03-04 12:05:00,37,80.44,60.03,51.43,2.65,1.49,1,0,401,Normal,0.0,0,good,e376d4f9-ceab-4c1e-b22a-3ac7c837dd83
2025-03-04 12:06:00,36,77.24,69.76,61.2,2.61,4.69,1,0,351,Normal,0.0,0,good,d935511a-5f8d-43f6-bce2-e7f5cad0e3f2
2025-03-04 12:07:00,30,80.83,44.11,78.77,1.11,3.12,1,0,155,Normal,0.0,0,good,dcec5bea-6fa5-4656-be24-4a6f60409d33
2025-03-04 12:08:00,45,67.26,41.19,61.95,1.32,3.28,1,0,177,Normal,0.0,0,good,339d69ad-a57b-4f8f-8b24-0ab6810b8167
2025-03-04 12:09:00,24,76.24,31.69,55.73,3.29,1.27,1,0,206,Normal,0.0,0,good,50c327dd-7a79-4ab8-bd46-b00b09fed674
2025-03-04 12:10:00,18,81.29,47.04,68.33,4.28,1.87,1,0,76,Normal,0.0,0,good,d31708ea-d80a-4a3a-830c-0e1b84205e32
2025-03-04 12:11:00,1,65.37,55.11,50.84,2.46,2.46,0,0,32,Normal,0.0,0,good,0fffc583-7609-4a7a-a8f3-34f784d8bb24
2025-03-04 12:12:00,3,76.88,69.65,77.06,3.89,4.93,1,0,114,Normal,0.0,0,good,dba3ce4c-85b6-4a11-9c38-36d2e687f539
2025-03-04 12:13:00,7,89.54,39.23,47.19,1.43,0.85,1,0,236,Normal,0.0,0,good,05cf80ce-d05a-462c-87b9-87f0783cdf63
2025-03-04 12:14:00,33,81.74,32.82,45.41,4.5,2.87,1,0,447,Normal,0.0,0,good,681f4a78-70d9-46d0-a6a7-fbf870380bd1
2025-03-04 12:15:00,21,72.94,59.71,64.59,1.46,1.92,1,0,279,Normal,0.0,0,good,db18d971-2299-4f78-a0d6-685795d52c3a
2025-03-04 12:16:00,14,83.53,71.85,73.38,1.27,3.84,1,0,74,Normal,0.0,0,good,821949ff-d1c0-4ef8-bb3d-9cd8e5040420
2025-03-04 12:17:00,47,81.39,47.11,42.41,4.39,3.94,1,0,403,Normal,0.0,0,good,744f9f72-9dad-497f-b2ae-ac68a9a07302
2025-03-04 12:18:00,48,73.4,49.47,76.7,4.24,2.36,0,0,273,Normal,0.0,0,good,05349ced-6155-4ae5-8df0-884a596b330b
2025-03-04 12:19:00,37,58.44,31.03,59.67,2.03,3.24,1,0,102,Normal,0.0,0,good,1a68cd4c-f5af-47ec-8f26-0c8ef6544a48
2025-03-04 12:20:00,3,78.72,43.43,61.24,3.35,0.75,1,0,72,Normal,0.0,0,good,81920a82-5f99-4fee-8eb7-0afaabde27dd
2025-03-04 12:21:00,49,77.67,4.91,73.77,3.88,3.49,0,0,249,Normal,0.0,0,good,36c10882-2e00-41a8-bb38-2fd637370389
2025-03-04 12:22:00,37,72.9,40.96,66.77,1.96,2.68,1,0,221,Normal,0.0,0,good,99c186dc-ac2b-4beb-9aff-b78fa99baf58
2025-03-04 12:23:00,25,54.8,57.78,57.05,2.69,2.99,0,0,27,Normal,0.0,0,good,2fa9dc74-ec25-4665-9097-bdc742a95f01
2025-03-04 12:24:00,33,82.44,40.93,78.66,4.74,3.86,1,0,112,Normal,0.0,0,good,58a9b172-3c25-4a35-b184-193e3cf49763
2025-03-04 12:25:00,13,66.5,75.03,58.55,1.12,3.43,2,0,254,Normal,0.0,1,good,77a9acc6-1fa3-4019-b96a-dc770c25534e
2025-03-04 12:26:00,50,79.83,27.5,40.69,3.84,3.62,1,0,476,Normal,0.0,0,good,fedbe7eb-c58c-424e-a8ac-64016a8fbd86
2025-03-04 12:27:00,33,84.41,54.13,62.78,2.41,2.4,1,0,48,Normal,0.0,0,good,ff1791a5-940e-4630-a6cf-cfa9494d4f63
2025-03-04 12:28:00,29,70.23,28.18,76.16,2.01,3.97,1,0,339,Normal,0.0,0,good,1f423655-333d-43fd-a6e0-7d6ef5fb9cbd
2025-03-04 12:29:00,19,69.78,35.51,50.61,2.5,2.78,1,0,89,Normal,0.0,0,good,5e1d5f54-0d07-427f-8e0f-958b513ae0cd
2025-03-04 12:30:00,26,87.77,66.9,78.12,4.01,2.11,1,0,122,Normal,0.0,0,good,5d9edf0a-0d9d-40cf-bb61-fa007aa84fe6
2025-03-04 12:31:00,38,47.2,74.26,32.56,1.46,1.41,1,0,178,Normal,0.0,0,good,5142621b-a2a0-4348-a734-6b3ff0344098
2025-03-04 12:32:00,9,68.07,58.71,68.2,1.95,3.05,1,0,80,Normal,0.0,0,good,bfe1504f-7069-4a52-baf9-403439aa0add
2025-03-04 12:33:00,46,57.96,71.85,52.57,1.8,3.18,1,0,390,Normal,0.0,0,good,488621e5-93be-4b62-bcf6-d137a5ec1718
